onset	duration	nwb_table	stim_name	stim_type	stim_block	Orientation	SpatialFrequency	TemporalFrequency	contrast	phase	DiameterX	DiameterY	X	Y	Duration	Delay	BlockNumber	BlockLabel	TrialNumber	SequenceNumber	TrialInSequence	TrialType	BlockType	stim_index
33.919810000000005	0.02115999999999474	spontaneous_presentations	spontaneous																					
33.94097	0.029790000000005534	Control block 1_presentations	Control block 1	None or Blank	0.0	0.7853981633974483	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	1.0	0.0	0.0	single	standard_control	3.0
34.30406	0.3668400000000034	Control block 1_presentations	Control block 1	None or Blank	0.0	0.7853981633974483	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	2.0	0.0	0.0	single	standard_control	3.0
35.00412	0.36664000000000385	Control block 1_presentations	Control block 1	None or Blank	0.0	4.319689898685966	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	3.0	0.0	0.0	single	standard_control	3.0
35.70414	0.3667200000000008	Control block 1_presentations	Control block 1	None or Blank	0.0	1.5707963267948966	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	4.0	0.0	0.0	single	standard_control	3.0
36.404160000000005	0.3666199999999975	Control block 1_presentations	Control block 1	None or Blank	0.0	0.7853981633974483	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	5.0	0.0	0.0	single	standard_control	3.0
37.104110000000006	0.37469999999999715	Control block 1_presentations	Control block 1	None or Blank	0.0	0.7853981633974483	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	6.0	0.0	0.0	single	standard_control	3.0
37.81212	0.3667000000000016	Control block 1_presentations	Control block 1	None or Blank	0.0	2.356194490192345	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	7.0	0.0	0.0	single	standard_control	3.0
38.51216	0.3666199999999975	Control block 1_presentations	Control block 1	None or Blank	0.0	0.3926990816987241	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	8.0	0.0	0.0	single	standard_control	3.0
39.21213	0.36666999999999916	Control block 1_presentations	Control block 1	None or Blank	0.0	0.3926990816987241	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	9.0	0.0	0.0	single	standard_control	3.0
39.91217	0.36670999999999765	Control block 1_presentations	Control block 1	None or Blank	0.0	0.0	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	10.0	0.0	0.0	single	standard_control	3.0
40.61214	0.3666900000000055	Control block 1_presentations	Control block 1	None or Blank	0.0	0.7853981633974483	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	11.0	0.0	0.0	single	standard_control	3.0
41.31214	0.36667000000000627	Control block 1_presentations	Control block 1	None or Blank	0.0	3.9269908169872414	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	12.0	0.0	0.0	single	standard_control	3.0
42.012150000000005	0.3666499999999999	Control block 1_presentations	Control block 1	None or Blank	0.0	4.319689898685966	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	13.0	0.0	0.0	single	standard_control	3.0
42.71218	0.366650000000007	Control block 1_presentations	Control block 1	None or Blank	0.0	1.5707963267948966	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	14.0	0.0	0.0	single	standard_control	3.0
43.41217	0.3666899999999984	Control block 1_presentations	Control block 1	None or Blank	0.0	0.0	0.04	2.0	0.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	15.0	0.0	0.0	omission	standard_control	3.0
44.11216	0.3666499999999999	Control block 1_presentations	Control block 1	None or Blank	0.0	4.71238898038469	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	16.0	0.0	0.0	single	standard_control	3.0
44.8122	0.36667000000000627	Control block 1_presentations	Control block 1	None or Blank	0.0	3.141592653589793	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	17.0	0.0	0.0	single	standard_control	3.0
45.51219	0.36667000000000627	Control block 1_presentations	Control block 1	None or Blank	0.0	3.9269908169872414	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	18.0	0.0	0.0	single	standard_control	3.0
46.21221	0.3666600000000031	Control block 1_presentations	Control block 1	None or Blank	0.0	2.748893571891069	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	19.0	0.0	0.0	single	standard_control	3.0
46.91217	0.3666899999999984	Control block 1_presentations	Control block 1	None or Blank	0.0	0.0	0.04	2.0	1.0	0.0	360.0	360.0	0.0	0.0	0.343	0.343	1.0	Control block 1.1	20.0	0.0	0.0	single	standard_control	3.0
